Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.128348,0.128906,0.128348,0.128348,0.100751,469033600
1980-12-15,0.122210,0.122210,0.121652,0.121652,0.095495,175884800
1980-12-16,0.113281,0.113281,0.112723,0.112723,0.088485,105728000
1980-12-17,0.115513,0.116071,0.115513,0.115513,0.090676,86441600
1980-12-18,0.118862,0.119420,0.118862,0.118862,0.093304,73449600
1980-12-19,0.126116,0.126674,0.126116,0.126116,0.098999,48630400
1980-12-22,0.132254,0.132813,0.132254,0.132254,0.103817,37363200
1980-12-23,0.137835,0.138393,0.137835,0.137835,0.108198,46950400
1980-12-24,0.145089,0.145647,0.145089,0.145089,0.113892,48003200
1980-12-26,0.158482,0.159040,0.158482,0.158482,0.124405,55574400
1980-12-29,0.160714,0.161272,0.160714,0.160714,0.126158,93161600
1980-12-30,0.157366,0.157366,0.156808,0.156808,0.123091,68880000
1980-12-31,0.152902,0.152902,0.152344,0.152344,0.119587,35750400
1981-01-02,0.154018,0.155134,0.154018,0.154018,0.120901,21660800
1981-01-05,0.151228,0.151228,0.150670,0.150670,0.118273,35728000
1981-01-06,0.144531,0.144531,0.143973,0.143973,0.113016,45158400
1981-01-07,0.138393,0.138393,0.137835,0.137835,0.108198,55686400
1981-01-08,0.135603,0.135603,0.135045,0.135045,0.106008,39827200
1981-01-09,0.142299,0.142857,0.142299,0.142299,0.111702,21504000
1981-01-12,0.142299,0.142299,0.141183,0.141183,0.110826,23699200
1981-01-13,0.136719,0.136719,0.136161,0.136161,0.106884,23049600
1981-01-14,0.136719,0.137277,0.136719,0.136719,0.107322,14291200
1981-01-15,0.139509,0.140625,0.139509,0.139509,0.109512,14067200
1981-01-16,0.138951,0.138951,0.138393,0.138393,0.108636,13395200
1981-01-19,0.146763,0.147321,0.146763,0.146763,0.115206,41574400
1981-01-20,0.142857,0.142857,0.142299,0.142299,0.111702,30083200
1981-01-21,0.145089,0.146205,0.145089,0.145089,0.113892,15904000
1981-01-22,0.146763,0.147879,0.146763,0.146763,0.115206,35548800
1981-01-23,0.146763,0.147321,0.146205,0.146205,0.114768,11222400
1981-01-26,0.144531,0.144531,0.143973,0.143973,0.113016,24640000
1981-01-27,0.143973,0.143973,0.142857,0.142857,0.112140,23699200
1981-01-28,0.138951,0.138951,0.138393,0.138393,0.108636,28156800
1981-01-29,0.133929,0.133929,0.133371,0.133371,0.104694,43904000
1981-01-30,0.127232,0.127232,0.126116,0.126116,0.098999,46188800
